,s,p,o
0,https://collectiedata.hetnieuweinstituut.nl/id/people/10147,name,"Tak, Christinus Bonifacius van der (sr.)"
1,https://collectiedata.hetnieuweinstituut.nl/id/people/10147,name,"Branch, Christinus Bonifacius van der (sr.)"
2,https://collectiedata.hetnieuweinstituut.nl/id/people/10151,name,"Branch, Gerardus Pieter van der"
3,https://collectiedata.hetnieuweinstituut.nl/id/people/10151,name,"Tak, Gerardus Pieter van der"
4,https://collectiedata.hetnieuweinstituut.nl/id/people/10171,name,"Middelhoek, Abraham"
5,https://collectiedata.hetnieuweinstituut.nl/id/people/10171,name,"Middelhoek, Abraham"
6,https://collectiedata.hetnieuweinstituut.nl/id/people/10192,name,"Verhagen, Pieter"
7,https://collectiedata.hetnieuweinstituut.nl/id/people/10192,name,"Verhagen, Pieter"
8,https://collectiedata.hetnieuweinstituut.nl/id/people/10226,name,"Besnyö, Eva"
9,https://collectiedata.hetnieuweinstituut.nl/id/people/10226,name,"Besnyö, Eva"
10,https://collectiedata.hetnieuweinstituut.nl/id/people/10282,name,"Galman, Jan"
11,https://collectiedata.hetnieuweinstituut.nl/id/people/10282,name,"Galman, Jan"
12,https://collectiedata.hetnieuweinstituut.nl/id/people/10316,name,"Maaskant, Huig Aart"
13,https://collectiedata.hetnieuweinstituut.nl/id/people/10316,name,"Maaskant, Huig Aart"
14,https://collectiedata.hetnieuweinstituut.nl/id/people/10414,name,"Bellot, Paul Louis Denis"
15,https://collectiedata.hetnieuweinstituut.nl/id/people/10414,name,"Bellot, Paul Louis Denis"
16,https://collectiedata.hetnieuweinstituut.nl/id/people/10562,name,"Cannegieter, Joost"
17,https://collectiedata.hetnieuweinstituut.nl/id/people/10562,name,"Cannegieter, Joost"
18,https://collectiedata.hetnieuweinstituut.nl/id/people/10663,name,"Duiker, Johannes"
19,https://collectiedata.hetnieuweinstituut.nl/id/people/10663,name,"Diver, Johannes"
20,https://collectiedata.hetnieuweinstituut.nl/id/people/10681,name,"Eijkelenboom, Wouter"
21,https://collectiedata.hetnieuweinstituut.nl/id/people/10681,name,"Eijkelenboom, Wouter"
22,https://collectiedata.hetnieuweinstituut.nl/id/people/10802,name,"Gropius, Walter Adolf"
23,https://collectiedata.hetnieuweinstituut.nl/id/people/10802,name,"Gropius, Walter Adolf"
24,https://collectiedata.hetnieuweinstituut.nl/id/people/10862,name,"Hejduk, John Quentin"
25,https://collectiedata.hetnieuweinstituut.nl/id/people/10862,name,"Hejduk, John Quentin"
26,https://collectiedata.hetnieuweinstituut.nl/id/people/10905,name,"Hoste, Huib"
27,https://collectiedata.hetnieuweinstituut.nl/id/people/10905,name,"Hoste, Huib"
28,https://collectiedata.hetnieuweinstituut.nl/id/people/10940,name,Kho Liang Ie
29,https://collectiedata.hetnieuweinstituut.nl/id/people/10940,name,Kho Liang Ie
30,https://collectiedata.hetnieuweinstituut.nl/id/people/10956,name,"Leliman, Johannes Hendrik Willem"
31,https://collectiedata.hetnieuweinstituut.nl/id/people/10956,name,"Leliman, Johannes Hendrik Willem"
32,https://collectiedata.hetnieuweinstituut.nl/id/people/10969,name,"Meuwissen, Joost"
33,https://collectiedata.hetnieuweinstituut.nl/id/people/10969,name,"Meuwissen, Joost"
34,https://collectiedata.hetnieuweinstituut.nl/id/people/10976,name,"Mondriaan, Pieter Cornelis"
35,https://collectiedata.hetnieuweinstituut.nl/id/people/10976,name,"Mondrian, Pieter Cornelis"
36,https://collectiedata.hetnieuweinstituut.nl/id/people/10990,name,"Ongenae, Joseph Jean Marie"
37,https://collectiedata.hetnieuweinstituut.nl/id/people/10990,name,"Ongenae, Joseph Jean Marie"
38,https://collectiedata.hetnieuweinstituut.nl/id/people/11015,name,"Reijers, Zeger"
39,https://collectiedata.hetnieuweinstituut.nl/id/people/11015,name,"Reijers, Zeger"
40,https://collectiedata.hetnieuweinstituut.nl/id/people/11021,name,"Roland Holst, Richard Nicolaüs"
41,https://collectiedata.hetnieuweinstituut.nl/id/people/11021,name,"Roland Holst, Richard Nicolaüs"
42,https://collectiedata.hetnieuweinstituut.nl/id/people/11049,name,"Sluyterman, Karel"
43,https://collectiedata.hetnieuweinstituut.nl/id/people/11049,name,"Sluyterman, Karel"
44,https://collectiedata.hetnieuweinstituut.nl/id/people/11060,name,"Westerhout, Gerrit"
45,https://collectiedata.hetnieuweinstituut.nl/id/people/11060,name,"Westerhout, Gerrit"
46,https://collectiedata.hetnieuweinstituut.nl/id/people/11131,name,"Breuer, Marcel Lajos"
47,https://collectiedata.hetnieuweinstituut.nl/id/people/11131,name,"Breuer, Marcel Lajos"
48,https://collectiedata.hetnieuweinstituut.nl/id/people/11159,name,"Buskens, Petrus Gerardus"
