s,name,birthdate,deathdate,birthplace,deathplace,occupation
https://data.rkd.nl/artists/63643,"Piot, René",,1934-04-24,Paris,Paris,watercolorist<|>painter<|>designer<|>draftsperson<|>fresco painter<|>set painter
https://data.rkd.nl/artists/251531,"Fontanesi, Antonio",1818-02-23,1882-04-17,Reggio nell'Emilia,Turin,painter<|>decorative painter of interiors<|>graphic artist<|>print artist<|>photographer
https://data.rkd.nl/artists/344226,"Lawick, Hugo van",1937-11-08,2002-11-08,Surabaya,Dar es Salaam,cinematographer<|>photographer
https://data.rkd.nl/artists/128211,"Wijnen, Gerard<|>Wynen, gerard",1930-11-08,2020-01-11,Den Bosch,Den Bosch,firm of architects<|>architect
https://data.rkd.nl/artists/56169,"Miller, Elizabeth<|>Miller, Lee",1907-04-23,1977-07-21,Poughkeepsie,Chiddingly,model (person)<|>photographer
https://data.rkd.nl/artists/434254,"Kirschner, Ludwig",1872-06-07,1936-09-29,Tettenweis,Munich,painter<|>fashion designer<|>designer<|>draftsperson
https://data.rkd.nl/artists/21473,"Deiters, Heinrich",1840-09-05,1916-07-29,Münster,Düsseldorf,art theorist<|>painter<|>illustrator<|>architect
https://data.rkd.nl/artists/418076,"Weesing, H.J.<|>Weesing, Hermanus Jodocus",1844-08-01,1910-03-24,Amsterdam,Amsterdam,photographer
https://data.rkd.nl/artists/19069,"Bautista de Castilla Marqués de la Torre, Juan<|>Castilla Marques de la Torre, Juan Bautista de<|>Crescenci, Giovanni Battista<|>Crescenci, Juan Bautista<|>Crescencio, Giovanni Battista<|>Crescentio, Juan Bautista<|>Crescenzi, Giovanni Battista<|>Crescenzio, Giovanni Battista<|>Juan Bautista de Castilla Marqués de la Torre<|>La Torre, Juan Bautista de (Marqués)<|>Torre, Juan Bautista de la (Marqués)<|>de Castilla Marques de la Torre, Juan Bautista",1577-01-17,1635-03-17,Rome,Madrid,sculptor<|>painter<|>architect
https://data.rkd.nl/artists/19880,"Damm, Bertil",1887-06-28,1942-07-18,Uppland,Gävleborg,decorative painter<|>painter<|>designer<|>draftsperson<|>set painter
https://data.rkd.nl/artists/462676,"Doolaard, Douwe",1894-09-30,1962-12-12,Rotterdam,The Hague,artist<|>photographer
https://data.rkd.nl/artists/110074,"Vos, Frans de (1871-1911)",1871-01-04,1911-05-13,Wemeldinge,Loosduinen,glass painter<|>designer
https://data.rkd.nl/artists/86195,"Zdanevic, Kirill<|>Zdanevic, Kirill Michajlovic<|>Zdanevich, Cyrille<|>Zdanevich, Kyril<|>Zdanevich, Kyrill Mikhailovich<|>Zdanevitch, Cyrille",1892-07-22,1969-09-01,Georgia,Tbilisi,watercolorist<|>painter<|>monumental artist<|>scenographer<|>collagist<|>graphic artist<|>illustrator<|>designer<|>draftsperson<|>manufacturer of gouaches
https://data.rkd.nl/artists/364803,"Chupyatov, Leonid Terentevich<|>Cupjatov, Leonid Terent'evic<|>Tchoupiatov, Leonid Terentevich",1890-11-08,1941-12-08,Sint-Petersburg,Sint-Petersburg,painter<|>scenographer<|>academy lecturer<|>collagist<|>graphic artist<|>illustrator<|>designer<|>draftsperson<|>illuminator<|>set painter<|>art teacher
https://data.rkd.nl/artists/395288,"Anderman, David",1914-11-08,1989-11-08,Vienna,Tel Aviv,photographer
https://data.rkd.nl/artists/418030,"Klashorst, G. van de<|>Klashorst, Gerrit van de",1858-11-14,1949-01-02,Amsterdam,Zevenaar,photographer
https://data.rkd.nl/artists/463384,"Hana, Gerard",1877-03-22,1958-01-30,Amsterdam,Amsterdam,photographer<|>publisher
https://data.rkd.nl/artists/393925,"Makarius, Sameer",1924-04-29,2009-08-03,Cairo,Buenos Aires,painter<|>historian<|>designer<|>photographer
https://data.rkd.nl/artists/72548,"Sikemeier, Johan<|>Sikemeier, Johan Hendrik",1877-04-22,1958-02-21,Yokohama,The Hague,watercolorist<|>painter<|>lithographer<|>etcher<|>photographer<|>graphic artist<|>illustrator<|>draftsperson<|>author<|>glass painter
https://data.rkd.nl/artists/396762,"Shimamoto, Keizaburo",1937-01-05,1971-02-10,Seoul,Laos,photographer
https://data.rkd.nl/artists/71438,"Schytz, Carl<|>Schütz, Carl<|>Schütz, Janz Karel",1745-11-02,1800-03-14,Ljubljana,Vienna,draftsperson<|>painter<|>engraver (printmaker)<|>architect
https://data.rkd.nl/artists/95991,"Neel, Alice",1900-01-28,1984-10-13,Gladwyne,New York City,painter<|>photographer
https://data.rkd.nl/artists/263379,"Sauvage, Frederic-Henri<|>Sauvage, Henri",1873-05-10,1932-03-21,Rouen,Paris,interior architect<|>architect
https://data.rkd.nl/artists/463883,"Kampfraath, Willem Herman Andries",1839-11-05,1906-09-16,Amsterdam,Amsterdam,supplier to a royal household<|>photographer
https://data.rkd.nl/artists/464269,"Koop, Mattheus Theodorus",1885-07-29,1959-03-15,Groningen,Groningen,photographer
https://data.rkd.nl/artists/466043,"Wendt, Bernardus Henricus Petrus",1879-09-20,1942-02-19,Amsterdam,Laren,photographer
https://data.rkd.nl/artists/410953,"Pierluigi<|>Praturlon, Pierluigi",1924-11-08,1999-11-08,Rome,Rome,photographer
https://data.rkd.nl/artists/378542,"De Fenoÿl, Pierre<|>Fenoÿl, Pierre de",1945-11-08,1987-11-08,Caluire-et-Cuire,Paris,photographer
https://data.rkd.nl/artists/448184,"Bisschof Wotke, Susanna Maria<|>Bisschoff Wotke, Susanna Maria<|>Bisschoff, Susanna Maria<|>Wotke-Bisschoff, Susanna Maria",1812-06-03,1901-04-06,Germany,Rotterdam,photographer
https://data.rkd.nl/artists/287626,"Hansen, Oskar (architect)",1922-04-12,2005-05-11,Helsinki,Warsaw,urban designer<|>architect
https://data.rkd.nl/artists/376504,"Ara, Guler (1928-)<|>Güler, Ara (1928-)",1928-08-16,2018-10-17,Istanbul,Istanbul,photographer
https://data.rkd.nl/artists/294743,"Volders, Jean Louis",1928-08-26,2005-01-13,Leiden,Bilthoven,restoration architect<|>amateur painter<|>architect
https://data.rkd.nl/artists/466251,"Roberg, Emil",1821-01-03,1859-02-25,Stockholm,Drottningholm,decorative painter<|>painter<|>designer
https://data.rkd.nl/artists/215946,"Buchheim, Lothar-Günther",1918-02-06,2007-02-22,Weimar,Starnberg,watercolorist<|>painter<|>art historian<|>gallery owner<|>photographer<|>graphic artist<|>designer<|>draftsperson<|>manufacturer of gouaches<|>pastelist<|>author<|>art collector<|>publisher
https://data.rkd.nl/artists/458356,"Oosterbaan, Joh.<|>Oosterbaan, Johannes",1856-04-25,1923-01-07,Bodegraven,Arnhem,photographer
https://data.rkd.nl/artists/78995,"De Valdés Leal, Juan<|>Leal, Juan de Valdés<|>Leal, Juan de Valdés Nisa<|>Leal, Juan de Valdés Niza<|>Leal, Valdes<|>Nisa y Leal Valdés, Juan de<|>Nisa y Valdés Leal, Juan de<|>Nisa y Valdés, Juan de<|>Valdés Leal<|>Valdés Leal Niza, Juan de<|>Valdés Leal, Juan de<|>Valdés Leal, Juan de Nisa y<|>Valdés Nica Leal, Juan de<|>Valdés Nica, Juan de<|>Valdés Nisa Leal, Juan de<|>Valdés Niza Leal, Juan de<|>Valdés, Juan de",1622-05-04,,Sevilla,Sevilla,painter<|>sculptor<|>etcher<|>architect<|>draftsperson<|>engraver (printmaker)
https://data.rkd.nl/artists/448088,"Beltermann, Johan Gerard<|>Beltermann, Johan Gerard (jr.)",1875-01-28,1955-02-02,Leiden,Beverwijk,photographer
https://data.rkd.nl/artists/14273,"Burmann, Fritz",1892-08-11,1945-09-08,Rheda-Wiedenbrück,Berlin,painter<|>designer
https://data.rkd.nl/artists/360700,"Smid, Lieuwe",1944-06-26,2007-10-06,Helmond,Amsterdam,designer
https://data.rkd.nl/artists/316897,"Prisse d'Avennes, Achille Emile Théodore",1807-01-27,1879-02-16,Avesnes-sur-Helpe,Paris,engineer<|>photographer<|>architect<|>watercolorist
https://data.rkd.nl/artists/225684,"Otting, Cord",1943-11-08,2012-11-08,Rhenen,Rhenen,photographer
https://data.rkd.nl/artists/463379,"Hamer, Martinus",1878-07-28,1906-07-12,Amsterdam,The Hague,photographer
https://data.rkd.nl/artists/448012,"Baijer, Jakob Adolf",1818-08-14,1888-03-27,Düsseldorf,Amsterdam,photographer
https://data.rkd.nl/artists/91897,"Walenkamp, Herman<|>Walenkamp, Hermanus Johannes Maria",1871-12-12,1933-09-24,Weesp,Zandvoort,academy lecturer<|>architect<|>publicist<|>interior decorator<|>designer
https://data.rkd.nl/artists/66696,"Richter, H. Davis<|>Richter, Herbert Davis",1874-05-10,1955-11-08,Brighton,London,painter<|>designer<|>architect
https://data.rkd.nl/artists/116997,"Deppe, Bernardus Wilhelmus Josephus<|>Deppe, Robert",1902-03-09,1943-11-14,Amsterdam,Chungkai,draftsperson<|>architect
https://data.rkd.nl/artists/361872,"Bernhardi, Jean Louis",1839-01-22,1905-09-27,Utrecht,The Hague,secondary school art teacher<|>painter<|>etcher<|>designer<|>draftsperson
