s,name,birthdate,deathdate,birthplace,deathplace,occupation
https://data.rkd.nl/artists/101500,"De Neste, Alfred<|>Neste, Alfred van<|>Van Neste, Alfred<|>Van Neste, Alfred Joseph Auguste",1874-03-04,1969-03-14,Brugge,Sint-Genesius-Rode,academy lecturer<|>designer<|>painter<|>illustrator<|>graphic artist
https://data.rkd.nl/artists/77995,"Touchagues, Louis",1893-04-28,1974-07-20,Saint-Cyr-au-Mont-d'Or,Paris,designer<|>cartoonist<|>watercolorist<|>painter<|>set painter<|>etcher<|>illustrator<|>graphic artist
https://data.rkd.nl/artists/23581,"Dolz Mateo, Dora<|>Dolz de Herman, Dora<|>Dolz, Adoración<|>Dolz, Dora<|>Herman, Dora Dolz de",1941-11-05,2008-03-01,Barcelona,Rotterdam,sculptor<|>academy lecturer<|>designer<|>glass designer<|>painter<|>ceramicist<|>lithographer<|>textile artist<|>glass artist<|>draftsperson<|>monumental artist
https://data.rkd.nl/artists/206534,"Grit, Arend",1921-05-12,2002-02-04,Groningen,Haren,sculptor<|>architect<|>painter<|>graphic artist<|>draftsperson
https://data.rkd.nl/artists/501357,"Agnessens, Jean André<|>Anneessens, Jan Andries<|>Anneessens, Jean André",,1754-11-08,Brussels,Aachen,architect<|>stonemason<|>sculptor
https://data.rkd.nl/artists/368005,"Gresnigt, Adelbert<|>Gresnigt, Charles Louis<|>Gresnigt, Dom. Adelbert",1877-11-04,1965-10-29,Utrecht,Maredsous,painter<|>architect<|>sculptor<|>mosaicist
https://data.rkd.nl/artists/488597,"Ditzel, Nanna<|>Hauberg, Nanna",1923-10-06,2005-06-17,Copenhagen,Copenhagen,designer
https://data.rkd.nl/artists/100074,"Stiévenart, Clément",1851-11-08,1924-11-08,Mons,Mons,designer<|>conservator (restorer)<|>painter
https://data.rkd.nl/artists/254437,"Block, Jacob Reyersz.<|>Block, Jacobus Rengers<|>Blok, H.<|>Blok, Jacob Reiniersz.<|>Blok, Jacob Rengers<|>Blok, Jakob Rogerius<|>Blok, Jakop Reugers<|>Rengers von Gouda, Jacob",,1647-11-08,Gouda,Duinkerken,fortress engineer<|>architect<|>painter<|>court painter<|>surveyor<|>court artist<|>draftsperson<|>teacher<|>cartographer
https://data.rkd.nl/artists/15,"Aafjes, Sijtje<|>Aafjes, Sijtje Antje Agatha Johanna",1893-08-22,1972-04-16,Amsterdam,Rotterdam,designer<|>pen draftsperson<|>watercolorist<|>wall painter<|>pastelist<|>painter<|>illustrator<|>teacher
