s,name,birthdate,deathdate,birthPlace,deathPlace,occupation
person,personLabels,,,birthPlaceLabels,deathPlaceLabels,occupationLabels
http://www.wikidata.org/entity/Q160422,Theo van Doesburg,1883-08-30,1931-03-07,Theo van Doesburg,Davos,designer<|>architect<|>photographer
http://www.wikidata.org/entity/Q447182,Mien Ruys,1904-04-12,1999-01-09,Mien Ruys,Dedemsvaart<|>Deventer,designer<|>architect
http://www.wikidata.org/entity/Q79000,Pieter Zeeman,1865-05-25,1943-10-09,Pieter Zeeman,Amsterdam,photographer
http://www.wikidata.org/entity/Q117259,Arent Passer,1560-01-01,1637-01-01,Arent Passer,Tallinn,architect
http://www.wikidata.org/entity/Q118476,Evariste Mertens,1846-12-09,1907-03-23,Evariste Mertens,Zurich,architect
http://www.wikidata.org/entity/Q126499,Wilhelm Emil Meerwein,1844-09-17,1927-01-25,Wilhelm Emil Meerwein,Hamburg,architect
http://www.wikidata.org/entity/Q132142,Henri Alexis Brialmont,1821-05-25,1903-07-21,Henri Alexis Brialmont,Saint-Josse-ten-Noode,architect
http://www.wikidata.org/entity/Q132305,Willem de Kooning,1904-04-24,1997-03-19,Willem de Kooning,East Hampton,designer
http://www.wikidata.org/entity/Q153890,Niko Tinbergen,1907-04-15,1988-12-21,Niko Tinbergen,Oxford,photographer
http://www.wikidata.org/entity/Q160435,Gerrit Rietveld,1888-06-24,1964-06-25,Gerrit Rietveld,Utrecht,designer<|>architect<|>photographer
http://www.wikidata.org/entity/Q174655,Bart van der Leck,1876-11-26,1958-11-13,Bart van der Leck,Blaricum,designer
http://www.wikidata.org/entity/Q213082,Bartholomeus van Hove,1790-10-28,1880-11-08,Bartholomeus van Hove,The Hague,designer
http://www.wikidata.org/entity/Q318816,Hendrik Petrus Berlage,1856-02-21,1934-08-12,Hendrik Petrus Berlage,The Hague,designer<|>architect
http://www.wikidata.org/entity/Q330854,Abraham van Diepenbeeck,1596-05-09,1675-12-01,Abraham van Diepenbeeck,Antwerp,designer
http://www.wikidata.org/entity/Q336965,Louis le Roy,1924-10-31,2012-07-15,Louis le Roy,Oranjewoud,architect
http://www.wikidata.org/entity/Q358303,Pyke Koch,1901-07-15,1991-10-27,Pyke Koch,Wassenaar,designer
http://www.wikidata.org/entity/Q367968,Adriaen de Vries,1556-01-01,1626-12-13,Adriaen de Vries,Prague,architect
http://www.wikidata.org/entity/Q368053,Adriaen van der Werff,1659-01-21,1722-11-12,Adriaen van der Werff,Rotterdam,architect
http://www.wikidata.org/entity/Q372910,Pieter de Keyser,1595-01-01,1676-09-15,Pieter de Keyser,Amsterdam,architect
