,s,p,o
0,person,name,personLabels
1,http://www.wikidata.org/entity/Q160422,name,Theo van Doesburg
2,http://www.wikidata.org/entity/Q447182,name,Mien Ruys
3,http://www.wikidata.org/entity/Q79000,name,Pieter Zeeman
4,http://www.wikidata.org/entity/Q117259,name,Arent Passer
5,http://www.wikidata.org/entity/Q118476,name,Evariste Mertens
6,http://www.wikidata.org/entity/Q126499,name,Wilhelm Emil Meerwein
7,http://www.wikidata.org/entity/Q132142,name,Henri Alexis Brialmont
8,http://www.wikidata.org/entity/Q132305,name,Willem de Kooning
9,http://www.wikidata.org/entity/Q153890,name,Niko Tinbergen
10,http://www.wikidata.org/entity/Q160435,name,Gerrit Rietveld
11,http://www.wikidata.org/entity/Q174655,name,Bart van der Leck
12,http://www.wikidata.org/entity/Q213082,name,Bartholomeus van Hove
13,http://www.wikidata.org/entity/Q318816,name,Hendrik Petrus Berlage
14,http://www.wikidata.org/entity/Q330854,name,Abraham van Diepenbeeck
15,http://www.wikidata.org/entity/Q336965,name,Louis le Roy
16,http://www.wikidata.org/entity/Q358303,name,Pyke Koch
17,http://www.wikidata.org/entity/Q367968,name,Adriaen de Vries
18,http://www.wikidata.org/entity/Q368053,name,Adriaen van der Werff
19,http://www.wikidata.org/entity/Q372910,name,Pieter de Keyser
20,http://www.wikidata.org/entity/Q376104,name,Adrianus Bleijs
21,http://www.wikidata.org/entity/Q458861,name,Jan Thorn Prikker
22,http://www.wikidata.org/entity/Q470588,name,Jacobus Oud
23,http://www.wikidata.org/entity/Q480473,name,Willem Sandberg
24,http://www.wikidata.org/entity/Q510467,name,Andries Copier
25,http://www.wikidata.org/entity/Q519135,name,Jaap Bakema
26,http://www.wikidata.org/entity/Q524197,name,Th.A.C. Colenbrander
27,http://www.wikidata.org/entity/Q529366,name,Piet Zwart
28,http://www.wikidata.org/entity/Q530883,name,Emmy Andriesse
29,http://www.wikidata.org/entity/Q536951,name,Jacob van Campen
30,http://www.wikidata.org/entity/Q538350,name,Maarten van Heemskerck
31,http://www.wikidata.org/entity/Q555389,name,Wim Crouwel
32,http://www.wikidata.org/entity/Q559440,name,Hendrik Nicolaas Werkman
33,http://www.wikidata.org/entity/Q560756,name,Willem Marinus Dudok
34,http://www.wikidata.org/entity/Q585177,name,Dick Elffers
35,http://www.wikidata.org/entity/Q1397864,name,Piet Blom
36,http://www.wikidata.org/entity/Q1569594,name,Wim Rietveld
37,http://www.wikidata.org/entity/Q1583336,name,Hans van der Laan
38,http://www.wikidata.org/entity/Q1610333,name,Herman Rosse
39,http://www.wikidata.org/entity/Q1682227,name,Jan Sluijters
40,http://www.wikidata.org/entity/Q1697966,name,Johannes Ludovicus Mattheus Lauweriks
41,http://www.wikidata.org/entity/Q2112601,name,Willem Vaarzon Morel
42,http://www.wikidata.org/entity/Q2116566,name,Carel Adolph Lion Cachet
43,http://www.wikidata.org/entity/Q2584370,name,Geurt Brinkgreve
44,http://www.wikidata.org/entity/Q2586201,name,Bas Bosman
45,http://www.wikidata.org/entity/Q2586528,name,Gerard Unger
46,http://www.wikidata.org/entity/Q2634884,name,Theo van Hoytema
47,http://www.wikidata.org/entity/Q2637384,name,Eduard Cuypers
48,http://www.wikidata.org/entity/Q2641964,name,Hendrick Bloemaert
49,http://www.wikidata.org/entity/Q2781930,name,Leon Senf
50,http://www.wikidata.org/entity/Q1470,name,M. C. Escher
51,http://www.wikidata.org/entity/Q59620,name,Paulus Moreelse
52,http://www.wikidata.org/entity/Q237268,name,Paul Cox
53,http://www.wikidata.org/entity/Q238616,name,Joris Ivens
54,http://www.wikidata.org/entity/Q249119,name,Wilhelm Victor Alfred Tepe
55,http://www.wikidata.org/entity/Q442228,name,Henri Pieck
56,http://www.wikidata.org/entity/Q442484,name,Cornelis van Haarlem
57,http://www.wikidata.org/entity/Q444571,name,Aldo van Eyck
58,http://www.wikidata.org/entity/Q559443,name,Johan Sems
59,http://www.wikidata.org/entity/Q560719,name,Joseph Cuypers
60,http://www.wikidata.org/entity/Q560731,name,Menno van Coehoorn
61,http://www.wikidata.org/entity/Q560746,name,Constantijn Huygens
62,http://www.wikidata.org/entity/Q704729,name,Nico de Wolf
63,http://www.wikidata.org/entity/Q770179,name,Nel Klaassen
64,http://www.wikidata.org/entity/Q785355,name,Otto van Veen
65,http://www.wikidata.org/entity/Q959097,name,Hendrik Willem van Loon
66,http://www.wikidata.org/entity/Q962993,name,Johannes Brinkman
67,http://www.wikidata.org/entity/Q964731,name,Leo Lionni
68,http://www.wikidata.org/entity/Q1131710,name,Cor Alons
69,http://www.wikidata.org/entity/Q1776659,name,Ted Scapa
70,http://www.wikidata.org/entity/Q1812135,name,Leendert van der Vlugt
71,http://www.wikidata.org/entity/Q1812275,name,Ootje Oxenaar
72,http://www.wikidata.org/entity/Q1813557,name,Charles Wiener
73,http://www.wikidata.org/entity/Q1818939,name,Leonard Anthony Springer
74,http://www.wikidata.org/entity/Q1822768,name,Willem Hendrik van Norden
75,http://www.wikidata.org/entity/Q1828686,name,René Smeets
76,http://www.wikidata.org/entity/Q1920364,name,Willem Heesen
77,http://www.wikidata.org/entity/Q1925023,name,Hendrik Wijdeveld
78,http://www.wikidata.org/entity/Q1960788,name,Marian Gobius
79,http://www.wikidata.org/entity/Q1961074,name,Adolf le Comte
80,http://www.wikidata.org/entity/Q1970102,name,Anthon Beeke
81,http://www.wikidata.org/entity/Q1971976,name,Henricus Jansen
82,http://www.wikidata.org/entity/Q1980746,name,Karel Sluijterman
83,http://www.wikidata.org/entity/Q1981235,name,Eeltsje Holtrop van der Zee
84,http://www.wikidata.org/entity/Q2024284,name,Franciscus Hermanus Bach
85,http://www.wikidata.org/entity/Q2029568,name,Leendert Bolle
86,http://www.wikidata.org/entity/Q2073966,name,Louis Raemaekers
87,http://www.wikidata.org/entity/Q2075001,name,Peter Beekman
88,http://www.wikidata.org/entity/Q2094359,name,Herman Walenkamp
89,http://www.wikidata.org/entity/Q2104043,name,Harry N. Sierman
90,http://www.wikidata.org/entity/Q2104344,name,L.O. Wenckebach
91,http://www.wikidata.org/entity/Q2591911,name,Gerard Baksteen
92,http://www.wikidata.org/entity/Q2606821,name,Daniël Knuttel
93,http://www.wikidata.org/entity/Q2608596,name,Jacob Jan van Goor
