,subjects
0,person
1,http://www.wikidata.org/entity/Q160422
2,http://www.wikidata.org/entity/Q447182
3,http://www.wikidata.org/entity/Q79000
4,http://www.wikidata.org/entity/Q117259
5,http://www.wikidata.org/entity/Q118476
6,http://www.wikidata.org/entity/Q126499
7,http://www.wikidata.org/entity/Q132142
8,http://www.wikidata.org/entity/Q132305
9,http://www.wikidata.org/entity/Q153890
10,http://www.wikidata.org/entity/Q160435
11,http://www.wikidata.org/entity/Q174655
12,http://www.wikidata.org/entity/Q213082
13,http://www.wikidata.org/entity/Q318816
14,http://www.wikidata.org/entity/Q330854
15,http://www.wikidata.org/entity/Q336965
16,http://www.wikidata.org/entity/Q358303
17,http://www.wikidata.org/entity/Q367968
18,http://www.wikidata.org/entity/Q368053
19,http://www.wikidata.org/entity/Q372910
20,http://www.wikidata.org/entity/Q376104
21,http://www.wikidata.org/entity/Q458861
22,http://www.wikidata.org/entity/Q470588
23,http://www.wikidata.org/entity/Q480473
24,http://www.wikidata.org/entity/Q510467
25,http://www.wikidata.org/entity/Q519135
26,http://www.wikidata.org/entity/Q524197
27,http://www.wikidata.org/entity/Q529366
28,http://www.wikidata.org/entity/Q530883
29,http://www.wikidata.org/entity/Q536951
30,http://www.wikidata.org/entity/Q538350
31,http://www.wikidata.org/entity/Q555389
32,http://www.wikidata.org/entity/Q559440
33,http://www.wikidata.org/entity/Q560756
34,http://www.wikidata.org/entity/Q585177
35,http://www.wikidata.org/entity/Q1397864
36,http://www.wikidata.org/entity/Q1569594
37,http://www.wikidata.org/entity/Q1583336
38,http://www.wikidata.org/entity/Q1610333
39,http://www.wikidata.org/entity/Q1682227
40,http://www.wikidata.org/entity/Q1697966
41,http://www.wikidata.org/entity/Q2112601
42,http://www.wikidata.org/entity/Q2116566
43,http://www.wikidata.org/entity/Q2584370
44,http://www.wikidata.org/entity/Q2586201
45,http://www.wikidata.org/entity/Q2586528
46,http://www.wikidata.org/entity/Q2634884
47,http://www.wikidata.org/entity/Q2637384
48,http://www.wikidata.org/entity/Q2641964
49,http://www.wikidata.org/entity/Q2781930
50,http://www.wikidata.org/entity/Q1470
51,http://www.wikidata.org/entity/Q59620
52,http://www.wikidata.org/entity/Q237268
53,http://www.wikidata.org/entity/Q238616
54,http://www.wikidata.org/entity/Q249119
55,http://www.wikidata.org/entity/Q442228
56,http://www.wikidata.org/entity/Q442484
57,http://www.wikidata.org/entity/Q444571
58,http://www.wikidata.org/entity/Q559443
59,http://www.wikidata.org/entity/Q560719
60,http://www.wikidata.org/entity/Q560731
61,http://www.wikidata.org/entity/Q560746
62,http://www.wikidata.org/entity/Q704729
63,http://www.wikidata.org/entity/Q770179
64,http://www.wikidata.org/entity/Q785355
65,http://www.wikidata.org/entity/Q959097
66,http://www.wikidata.org/entity/Q962993
67,http://www.wikidata.org/entity/Q964731
68,http://www.wikidata.org/entity/Q1131710
69,http://www.wikidata.org/entity/Q1776659
70,http://www.wikidata.org/entity/Q1812135
71,http://www.wikidata.org/entity/Q1812275
72,http://www.wikidata.org/entity/Q1813557
73,http://www.wikidata.org/entity/Q1818939
74,http://www.wikidata.org/entity/Q1822768
75,http://www.wikidata.org/entity/Q1828686
76,http://www.wikidata.org/entity/Q1920364
77,http://www.wikidata.org/entity/Q1925023
78,http://www.wikidata.org/entity/Q1960788
79,http://www.wikidata.org/entity/Q1961074
80,http://www.wikidata.org/entity/Q1970102
81,http://www.wikidata.org/entity/Q1971976
82,http://www.wikidata.org/entity/Q1980746
83,http://www.wikidata.org/entity/Q1981235
84,http://www.wikidata.org/entity/Q2024284
85,http://www.wikidata.org/entity/Q2029568
86,http://www.wikidata.org/entity/Q2073966
87,http://www.wikidata.org/entity/Q2075001
88,http://www.wikidata.org/entity/Q2094359
89,http://www.wikidata.org/entity/Q2104043
90,http://www.wikidata.org/entity/Q2104344
91,http://www.wikidata.org/entity/Q2591911
92,http://www.wikidata.org/entity/Q2606821
93,http://www.wikidata.org/entity/Q2608596
94,http://www.wikidata.org/entity/Q2654756
95,http://www.wikidata.org/entity/Q2673745
96,http://www.wikidata.org/entity/Q2674165
97,http://www.wikidata.org/entity/Q2681376
98,http://www.wikidata.org/entity/Q2681913
99,http://www.wikidata.org/entity/Q2685198
100,http://www.wikidata.org/entity/Q2710856
101,http://www.wikidata.org/entity/Q2717011
102,http://www.wikidata.org/entity/Q249985
103,http://www.wikidata.org/entity/Q255347
104,http://www.wikidata.org/entity/Q304915
105,http://www.wikidata.org/entity/Q474308
106,http://www.wikidata.org/entity/Q481253
