s,name,birthdate,deathdate,birthPlace,deathPlace,occupation
https://collectiedata.hetnieuweinstituut.nl/id/people/10147,Tak  Christinus Bonifacius van der  sr  <|>Branch  Christinus Bonifacius van der  sr  ,1872-02-04,1943-10-11,Flushing,Rotterdam,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/10151,Branch  Gerardus Pieter van der<|>Tak  Gerardus Pieter van der,1838-11-02,1873-04-27,Rotterdam,Rotterdam,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/10171,Middelhoek  Abraham<|>Middelhoek  Abraham,1928-06-29,2001-06-05,Brielle,Veldhoven,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/10192,Verhagen  Pieter<|>Verhagen  Pieter,1882-08-26,1950-04-04,Beverwijk,Rockanje,architect<|>publicist
https://collectiedata.hetnieuweinstituut.nl/id/people/10226,Besnyö  Eva<|>Besnyö  Eva,1910-04-29,2003-12-12,Budapest,Laren (NH),photographer
https://collectiedata.hetnieuweinstituut.nl/id/people/10282,Galman  Jan<|>Galman  Jan,1807-06-29,1891-03-14,Amsterdam,Amsterdam,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/10316,Maaskant  Huig Aart<|>Maaskant  Huig Aart,1907-08-17,1977-05-27,Rotterdam,Rotterdam,architect<|>interior designer
https://collectiedata.hetnieuweinstituut.nl/id/people/10414,Bellot  Paul Louis Denis<|>Bellot  Paul Louis Denis,1876-06-07,1944-07-05,Paris,Montreal,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/10562,Cannegieter  Joost<|>Cannegieter  Joost,1931-07-02,2004-08-25,Haarlem,Lonneker,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/10663,Duiker  Johannes<|>Diver  Johannes,1890-03-01,1935-02-23,The Hague,Amsterdam,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/10681,Eijkelenboom  Wouter<|>Eijkelenboom  Wouter,1924-12-27,2013-10-13,Vlaardingen,Rotterdam,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/10802,Gropius  Walter Adolf<|>Gropius  Walter Adolf,1883-05-18,1969-07-05,Berlin,Boston,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/10862,Hejduk  John Quentin<|>Hejduk  John Quentin,1929-07-19,2000-07-03,New York,Riverdale,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/10905,Hoste  Huib<|>Hoste  Huib,1881-02-06,1957-11-08,Bruges,Hove,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/10940,Kho Liang Ie<|>Kho Liang Ie,1927-08-05,1975-01-01,Magelang,Amsterdam,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/10956,Leliman  Johannes Hendrik Willem<|>Leliman  Johannes Hendrik Willem,1878-08-26,1921-04-07,Amsterdam,Baarn,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/10969,Meuwissen  Joost<|>Meuwissen  Joost,1950-11-08,2016-09-05,Breda,Amsterdam,urban
https://collectiedata.hetnieuweinstituut.nl/id/people/10976,Mondriaan  Pieter Cornelis<|>Mondrian  Pieter Cornelis,1872-03-07,1944-02-01,Amersfoort,New York,interior designer<|>draughtsman<|>artist<|>furniture designer
https://collectiedata.hetnieuweinstituut.nl/id/people/10990,Ongenae  Joseph Jean Marie<|>Ongenae  Joseph Jean Marie,1921-10-07,1993-12-11,Antwerp,Amsterdam,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11015,Reijers  Zeger<|>Reijers  Zeger,1789-10-12,1857-06-05,Arnhem,The Hague,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11021,Roland Holst  Richard Nicolaüs<|>Roland Holst  Richard Nicolaüs,1868-12-04,1938-12-31,Amsterdam,Bloemendaal (North Holland),furniture designer
https://collectiedata.hetnieuweinstituut.nl/id/people/11049,Sluyterman  Karel<|>Sluyterman  Karel,1863-01-22,1931-06-08,Angels,The Hague,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11060,Westerhout  Gerrit<|>Westerhout  Gerrit,1893-02-26,1976-11-18,Amsterdam,The Hague,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11131,Breuer  Marcel Lajos<|>Breuer  Marcel Lajos,1902-05-22,1981-07-01,Pécs,New York,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11159,Buskens  Petrus Gerardus<|>Buskens  Petrus Gerardus,1872-10-09,1939-09-19,Rotterdam,Rotterdam,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11190,Copijn  Hendrik<|>Copijn  Hendrik,1842-03-03,1923-12-23,Groenekan,Utrecht (city),architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11214,Kloot Meijburg  Hermanus van der<|>Kloot Meijburg  Hermanus van der,1875-10-21,1961-04-19,Oudshoorn,Scheveningen,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11219,Knuttel  Daniel Elisa Cornelis  sr  <|>Knuttel  Daniël Elisa Cornelis  sr  ,1857-03-12,1926-11-19,Maassluis,The Hague,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11221,Knijtijzer  Herman<|>Knijtijzer  Herman,1914-06-06,1994-08-27,Amsterdam,Amsterdam,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11222,Koldewey  Bernardus Joannes<|>Koldewey  Bernardus Joannes,1895-05-29,1958-01-08,Dordrecht,Voorburg,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11224,Komter  Auke<|>Komter  Auke,1904-05-16,1982-10-24,Leeuwarden,Amsterdam,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11236,Kramer  Pieter Lodewijk<|>Kramer  Pieter Lodewijk,1881-07-01,1961-02-04,Amsterdam,Santpoort,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11260,Buskens  Henricus Maria<|>Buskens  Henricus Maria,1909-06-16,1978-05-14,Rotterdam,Den Bosch,architect<|>engineer
https://collectiedata.hetnieuweinstituut.nl/id/people/11293,Forest  Alexander<|>Bos  Alexander,1894-02-14,1984-07-14,Assen,Bergen (North Holland),architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11313,Overeijnder  Adriaan  WFzn  <|>Overeijnder  Adriaan  WFzn  ,1901-08-10,1986-08-03,Rotterdam,Maarn,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/113254,Ivens  Kees<|>Ivens  Kees,1871-02-24,1941-08-29,Nijmegen,Nijmegen,photographer
https://collectiedata.hetnieuweinstituut.nl/id/people/11344,Giedion  Sigfried<|>Giedion  Sigfried,1888-04-14,1968-04-09,Prague,Zurich,art historian
https://collectiedata.hetnieuweinstituut.nl/id/people/11397,Le Corbusier<|>Le Corbusier,1887-10-06,1965-08-27,La Chaux-de-Fonds,Roquebrune-Cap-Martin,architect<|>photographer<|>sculptor<|>designer<|>artist
https://collectiedata.hetnieuweinstituut.nl/id/people/11427,Schaap  Willem Frederik Carel<|>Schaap  Willem Frederik Carel,1870-02-12,1933-03-15,Delft,Arnhem,architect<|>draughtsman
https://collectiedata.hetnieuweinstituut.nl/id/people/11430,Meintema  Doeke<|>Meintema  Doeke,1877-11-08,1935-01-14,Mantgum,Leeuwarden,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11435,Elmpt  Antonius Theodorus van<|>Elmpt  Antonius Theodorus van,1866-07-12,1953-12-25,Groningen (city),Groningen (city),architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11437,Kropholler  Alexander Jacobus<|>Kropholler  Alexander Jacobus,1881-07-26,1973-05-17,Amsterdam,Wassenaar,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11438,Linde  Cornelis van de<|>Linde  Cornelis van de,1886-07-30,1941-02-08,Kloetinge,Aerdenhout,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11463,Gool  Frans Jan van<|>Gool  Frans Jan van,1922-05-03,2015-10-25,Antwerp,Amsterdam,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11467,Gouwetor  Frits Johan<|>Gouwetor  Frits Johan,1903-07-24,1972-07-25,Amsterdam,Rotterdam,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11482,Gulden  Zeeger Daniël Johan Wilhelm<|>Gulden  Zeeger Daniël Johan Wilhelm,1875-03-02,1960-11-24,Zaltbommel,Amsterdam,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11485,Noort  Anton Helmich op ten<|>Noort  Anton Helmich op ten,1881-09-05,1975-12-18,Utrecht (city),Bathmen,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11486,Moojen  Pieter Adriaan Jacobus<|>Moojen  Pieter Adriaan Jacobus,1879-06-26,1955-11-08,Kloetinge,Ede,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11490,Haak  Alex Johan Henri M <|>Hook  Alex Johan Henri M ,1930-02-09,2018-08-17,Haarlem,Delft,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11540,Johnson  Philip Cortelyou<|>Johnson  Philip Cortelyou,1906-07-08,2005-01-25,Cleveland,New Canaan,architect<|>architectural historian
https://collectiedata.hetnieuweinstituut.nl/id/people/11592,Klerk  Michel de<|>Clerk  Michel de,1884-11-24,1923-11-24,Amsterdam,Amsterdam,architect<|>artist<|>designer<|>consultant<|>publicist
https://collectiedata.hetnieuweinstituut.nl/id/people/11701,Mendini  Alessandro<|>Mendini  Alessandro,1931-08-16,2019-02-18,Milan,Milan,artists<|>architect<|>photographer<|>designer
https://collectiedata.hetnieuweinstituut.nl/id/people/11702,Mendelsohn  Erich<|>Mendelsohn  Erich,1887-03-21,1953-09-15,Allenstein,San Francisco,architect<|>draughtsman<|>photographer
https://collectiedata.hetnieuweinstituut.nl/id/people/11751,Mieras  Hans  1888 1956 <|>Mieras  Hans  1888 1956 ,1888-08-16,1956-12-31,Amsterdam,Amsterdam,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/11877,Pei  Ieoh Ming<|>Pei  Ieoh Ming,1917-04-26,2019-05-16,Guangzhou,New York,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/12036,Rossi  Aldo<|>Rossi  Aldo,1931-05-03,1997-09-04,Milan,Milan,architect
https://collectiedata.hetnieuweinstituut.nl/id/people/12050,Rueter  Georg<|>Rueter  Georg,1875-03-08,1966-08-16,Haarlem (municipality),Amsterdam (municipality),artists
https://collectiedata.hetnieuweinstituut.nl/id/people/12081,Schuitema  Paul<|>Schuitema  Paul,1897-02-27,1973-10-25,Groningen (city),Wassenaar,artists<|>architect
