s,name,birthdate,deathdate,birthplace,deathplace,occupation
https://data.rkd.nl/artists/101500,De Neste  Alfred<|>Neste  Alfred van<|>Van Neste  Alfred<|>Van Neste  Alfred Joseph Auguste,1874-03-04,1969-03-14,Brugge,Sint-Genesius-Rode,graphic artist<|>designer<|>academy lecturer<|>illustrator<|>painter
https://data.rkd.nl/artists/77995,Touchagues  Louis,1893-04-28,1974-07-20,Saint-Cyr-au-Mont-d'Or,Paris,watercolorist<|>cartoonist<|>graphic artist<|>etcher<|>designer<|>set painter<|>illustrator<|>painter
https://data.rkd.nl/artists/23581,Dolz Mateo  Dora<|>Dolz de Herman  Dora<|>Dolz  Adoración<|>Dolz  Dora<|>Herman  Dora Dolz de,1941-11-05,2008-03-01,Barcelona,Rotterdam,ceramicist<|>glass designer<|>sculptor<|>glass artist<|>designer<|>academy lecturer<|>lithographer<|>textile artist<|>draftsperson<|>painter<|>monumental artist
https://data.rkd.nl/artists/206534,Grit  Arend,1921-05-12,2002-02-04,Groningen,Haren,architect<|>sculptor<|>graphic artist<|>draftsperson<|>painter
https://data.rkd.nl/artists/501357,Agnessens  Jean André<|>Anneessens  Jan Andries<|>Anneessens  Jean André,,1754-11-08,Brussels,Aachen,architect<|>stonemason<|>sculptor
https://data.rkd.nl/artists/368005,Gresnigt  Adelbert<|>Gresnigt  Charles Louis<|>Gresnigt  Dom  Adelbert,1877-11-04,1965-10-29,Utrecht,Maredsous,architect<|>mosaicist<|>sculptor<|>painter
https://data.rkd.nl/artists/488597,Ditzel  Nanna<|>Hauberg  Nanna,1923-10-06,2005-06-17,Copenhagen,Copenhagen,designer
https://data.rkd.nl/artists/100074,Stiévenart  Clément,1851-11-08,1924-11-08,Mons,Mons,conservator (restorer)<|>painter<|>designer
https://data.rkd.nl/artists/254437,Block  Jacob Reyersz <|>Block  Jacobus Rengers<|>Blok  H <|>Blok  Jacob Reiniersz <|>Blok  Jacob Rengers<|>Blok  Jakob Rogerius<|>Blok  Jakop Reugers<|>Rengers von Gouda  Jacob,,1647-11-08,Gouda,Duinkerken,architect<|>fortress engineer<|>court painter<|>surveyor<|>court artist<|>teacher<|>cartographer<|>draftsperson<|>painter
https://data.rkd.nl/artists/15,Aafjes  Sijtje<|>Aafjes  Sijtje Antje Agatha Johanna,1893-08-22,1972-04-16,Amsterdam,Rotterdam,watercolorist<|>pastelist<|>designer<|>teacher<|>pen draftsperson<|>wall painter<|>illustrator<|>painter
https://data.rkd.nl/artists/335629,Lempke  Catharina Margaretha of Marthina<|>Lempke  Eta<|>Lempke  Etha,1909-04-10,1991-02-09,Amsterdam,Amsterdam,ceramicist<|>designer<|>decorative artist
https://data.rkd.nl/artists/17343,Cluysenaar  Jean Pierre<|>Cluysenaer  Jean Pierre,1811-03-28,1880-02-16,Kampen,Brussels,architect
https://data.rkd.nl/artists/70276,Scheiner  Jakob,1821-11-08,1911-11-08,Siegen,Potsdam,architect<|>painter<|>photographer
https://data.rkd.nl/artists/463778,Andersson  Erik Johan<|>Jerken  Erik,1898-06-17,1947-10-27,Stockholm,Stockholm,graphic artist<|>designer<|>draftsperson<|>cinematographer<|>painter
https://data.rkd.nl/artists/277905,Metzelaar  Willem Cornelis,1848-08-09,1918-08-18,Rotterdam,The Hague,architect
https://data.rkd.nl/artists/21473,Deiters  Heinrich,1840-09-05,1916-07-29,Münster,Düsseldorf,illustrator<|>architect<|>art theorist<|>painter
https://data.rkd.nl/artists/75658,Strathmann  Carl,1866-09-11,1939-11-08,Düsseldorf,Munich,painter<|>designer
https://data.rkd.nl/artists/84247,Wiertz  Pauline,1955-05-16,2019-04-26,Amsterdam,Amsterdam,ceramicist<|>sculptor<|>jewelry designer<|>designer<|>installation artist
https://data.rkd.nl/artists/14688,Caffà  Melchior<|>Caffà  Melchiorre<|>Cafà  Melchior<|>Cafà  Melchiorre<|>Gafar  Melchior<|>Gafar  Melchiorre<|>Gafà  Melchior<|>Gafà  Melchiorre,,,Birgu,Rome,architect<|>sculptor<|>draftsperson
https://data.rkd.nl/artists/2915,Audran  Claude  1658 1734 <|>Audran  Claude  III ,1658-08-25,1734-05-27,Lyon,Paris,tapestry designer<|>painter<|>draftsperson<|>designer
https://data.rkd.nl/artists/342200,Birstinger  Leopold,1903-10-30,1983-08-15,Vienna,Vienna,watercolorist<|>pastelist<|>graphic artist<|>designer<|>painter<|>wall painter<|>mosaicist
https://data.rkd.nl/artists/483039,Beauclair  Gotthard de,1907-07-24,1992-03-31,Ascona,Breisgau,typographer<|>book printer<|>publisher<|>designer
https://data.rkd.nl/artists/67110,Rinsema  Thijs<|>Rinsema  Thye,1877-06-18,1947-03-01,Drachten,Smallingerland,manufacturer of gouaches<|>collagist<|>pen draftsperson<|>draftsperson<|>furniture designer<|>painter
https://data.rkd.nl/artists/388612,Ebert  Wils,1909-04-17,1979-06-24,Germany,Berlin,architect<|>designer
https://data.rkd.nl/artists/363413,Buhrman  Jan Anthonij,1806-12-11,1886-01-03,Amsterdam,Amsterdam,architectural draftsperson
https://data.rkd.nl/artists/13805,Buckler  John,1770-11-30,1851-12-06,Calbourne,London,watercolorist<|>architect<|>etcher<|>draftsperson<|>painter
https://data.rkd.nl/artists/22669,Abramo van Diepenbecck<|>Abramo van Diepenbeke<|>Diepenbecke  Abraham van<|>Diepenbeeck  Abraham Jansz  van<|>Diepenbeeck  Abraham van<|>Diepenbeek  Abraham van<|>Dipendael  Abraham,,,Den Bosch,Antwerp,glass painter<|>tapestry designer<|>designer<|>print artist<|>grisaillist<|>draftsperson<|>painter
https://data.rkd.nl/artists/12358,Brandis  Geraldo Abraham Brender à<|>Brender à Brandis  Geraldo Abraham<|>Brender à Brandis  Gerard Abraham,1878-03-21,1971-07-17,The Hague,Blaricum,sculptor<|>graphic designer<|>designer<|>lithographer<|>draftsperson<|>painter<|>jeweler (craftsperson)
