,subjects
0,https://data.rkd.nl/artists/101500
1,https://data.rkd.nl/artists/77995
2,https://data.rkd.nl/artists/23581
3,https://data.rkd.nl/artists/206534
4,https://data.rkd.nl/artists/501357
5,https://data.rkd.nl/artists/368005
6,https://data.rkd.nl/artists/488597
7,https://data.rkd.nl/artists/100074
8,https://data.rkd.nl/artists/254437
9,https://data.rkd.nl/artists/15
10,https://data.rkd.nl/artists/335629
11,https://data.rkd.nl/artists/17343
12,https://data.rkd.nl/artists/70276
13,https://data.rkd.nl/artists/463778
14,https://data.rkd.nl/artists/277905
15,https://data.rkd.nl/artists/21473
16,https://data.rkd.nl/artists/75658
17,https://data.rkd.nl/artists/84247
18,https://data.rkd.nl/artists/14688
19,https://data.rkd.nl/artists/2915
20,https://data.rkd.nl/artists/342200
21,https://data.rkd.nl/artists/483039
22,https://data.rkd.nl/artists/67110
23,https://data.rkd.nl/artists/388612
24,https://data.rkd.nl/artists/363413
25,https://data.rkd.nl/artists/13805
26,https://data.rkd.nl/artists/22669
27,https://data.rkd.nl/artists/12358
28,https://data.rkd.nl/artists/49840
29,https://data.rkd.nl/artists/122823
30,https://data.rkd.nl/artists/17212
31,https://data.rkd.nl/artists/429789
32,https://data.rkd.nl/artists/53119
33,https://data.rkd.nl/artists/341498
34,https://data.rkd.nl/artists/28946
35,https://data.rkd.nl/artists/129183
36,https://data.rkd.nl/artists/24476
37,https://data.rkd.nl/artists/29211
38,https://data.rkd.nl/artists/80065
39,https://data.rkd.nl/artists/8977
40,https://data.rkd.nl/artists/50827
41,https://data.rkd.nl/artists/16418
42,https://data.rkd.nl/artists/461223
43,https://data.rkd.nl/artists/50429
44,https://data.rkd.nl/artists/315886
45,https://data.rkd.nl/artists/2812
46,https://data.rkd.nl/artists/311101
47,https://data.rkd.nl/artists/46111
48,https://data.rkd.nl/artists/4730
49,https://data.rkd.nl/artists/319057
50,https://data.rkd.nl/artists/246819
51,https://data.rkd.nl/artists/203817
52,https://data.rkd.nl/artists/257962
53,https://data.rkd.nl/artists/264838
54,https://data.rkd.nl/artists/440036
55,https://data.rkd.nl/artists/69482
56,https://data.rkd.nl/artists/43833
57,https://data.rkd.nl/artists/244450
58,https://data.rkd.nl/artists/42896
59,https://data.rkd.nl/artists/4572
60,https://data.rkd.nl/artists/362765
61,https://data.rkd.nl/artists/95171
62,https://data.rkd.nl/artists/353656
63,https://data.rkd.nl/artists/122399
64,https://data.rkd.nl/artists/91557
65,https://data.rkd.nl/artists/374310
66,https://data.rkd.nl/artists/102888
67,https://data.rkd.nl/artists/18312
68,https://data.rkd.nl/artists/59938
69,https://data.rkd.nl/artists/1164
70,https://data.rkd.nl/artists/121343
71,https://data.rkd.nl/artists/12819
72,https://data.rkd.nl/artists/123146
73,https://data.rkd.nl/artists/71481
74,https://data.rkd.nl/artists/268269
75,https://data.rkd.nl/artists/6702
76,https://data.rkd.nl/artists/18314
77,https://data.rkd.nl/artists/243762
78,https://data.rkd.nl/artists/307265
79,https://data.rkd.nl/artists/255832
80,https://data.rkd.nl/artists/130695
81,https://data.rkd.nl/artists/77636
82,https://data.rkd.nl/artists/27265
83,https://data.rkd.nl/artists/34515
84,https://data.rkd.nl/artists/313878
85,https://data.rkd.nl/artists/383497
86,https://data.rkd.nl/artists/486784
87,https://data.rkd.nl/artists/423327
88,https://data.rkd.nl/artists/434487
89,https://data.rkd.nl/artists/306926
90,https://data.rkd.nl/artists/5707
91,https://data.rkd.nl/artists/352664
92,https://data.rkd.nl/artists/4070
93,https://data.rkd.nl/artists/1921
94,https://data.rkd.nl/artists/349726
95,https://data.rkd.nl/artists/124987
96,https://data.rkd.nl/artists/30034
97,https://data.rkd.nl/artists/11199
98,https://data.rkd.nl/artists/516469
99,https://data.rkd.nl/artists/80613
100,https://data.rkd.nl/artists/104530
101,https://data.rkd.nl/artists/100493
102,https://data.rkd.nl/artists/83158
103,https://data.rkd.nl/artists/325855
104,https://data.rkd.nl/artists/73032
105,https://data.rkd.nl/artists/37897
106,https://data.rkd.nl/artists/21177
107,https://data.rkd.nl/artists/65622
108,https://data.rkd.nl/artists/62744
109,https://data.rkd.nl/artists/460995
110,https://data.rkd.nl/artists/257528
111,https://data.rkd.nl/artists/429724
112,https://data.rkd.nl/artists/31964
113,https://data.rkd.nl/artists/6170
114,https://data.rkd.nl/artists/72017
115,https://data.rkd.nl/artists/49417
116,https://data.rkd.nl/artists/425389
117,https://data.rkd.nl/artists/352900
118,https://data.rkd.nl/artists/74882
119,https://data.rkd.nl/artists/316726
120,https://data.rkd.nl/artists/289688
121,https://data.rkd.nl/artists/328856
122,https://data.rkd.nl/artists/66236
123,https://data.rkd.nl/artists/64427
124,https://data.rkd.nl/artists/2617
125,https://data.rkd.nl/artists/15034
126,https://data.rkd.nl/artists/12910
127,https://data.rkd.nl/artists/64165
128,https://data.rkd.nl/artists/18418
129,https://data.rkd.nl/artists/79497
130,https://data.rkd.nl/artists/34550
131,https://data.rkd.nl/artists/94385
132,https://data.rkd.nl/artists/466251
133,https://data.rkd.nl/artists/469486
134,https://data.rkd.nl/artists/64225
135,https://data.rkd.nl/artists/30972
136,https://data.rkd.nl/artists/79864
137,https://data.rkd.nl/artists/46792
138,https://data.rkd.nl/artists/8054
139,https://data.rkd.nl/artists/3928
140,https://data.rkd.nl/artists/16192
141,https://data.rkd.nl/artists/124025
142,https://data.rkd.nl/artists/8063
143,https://data.rkd.nl/artists/316040
144,https://data.rkd.nl/artists/118559
145,https://data.rkd.nl/artists/36746
146,https://data.rkd.nl/artists/325918
147,https://data.rkd.nl/artists/361872
148,https://data.rkd.nl/artists/352719
149,https://data.rkd.nl/artists/427573
150,https://data.rkd.nl/artists/55222
151,https://data.rkd.nl/artists/514786
152,https://data.rkd.nl/artists/15097
153,https://data.rkd.nl/artists/9313
154,https://data.rkd.nl/artists/61863
155,https://data.rkd.nl/artists/439024
156,https://data.rkd.nl/artists/345353
157,https://data.rkd.nl/artists/279595
158,https://data.rkd.nl/artists/82166
159,https://data.rkd.nl/artists/109942
160,https://data.rkd.nl/artists/89778
161,https://data.rkd.nl/artists/122377
162,https://data.rkd.nl/artists/65013
163,https://data.rkd.nl/artists/218012
164,https://data.rkd.nl/artists/66625
165,https://data.rkd.nl/artists/49879
166,https://data.rkd.nl/artists/288283
167,https://data.rkd.nl/artists/109186
168,https://data.rkd.nl/artists/10268
169,https://data.rkd.nl/artists/81980
170,https://data.rkd.nl/artists/347637
171,https://data.rkd.nl/artists/306835
172,https://data.rkd.nl/artists/290789
173,https://data.rkd.nl/artists/60345
174,https://data.rkd.nl/artists/434235
175,https://data.rkd.nl/artists/90703
176,https://data.rkd.nl/artists/286683
177,https://data.rkd.nl/artists/129276
178,https://data.rkd.nl/artists/282299
179,https://data.rkd.nl/artists/7523
180,https://data.rkd.nl/artists/420859
181,https://data.rkd.nl/artists/474767
182,https://data.rkd.nl/artists/15385
183,https://data.rkd.nl/artists/414670
184,https://data.rkd.nl/artists/87814
185,https://data.rkd.nl/artists/253482
186,https://data.rkd.nl/artists/52416
187,https://data.rkd.nl/artists/16004
188,https://data.rkd.nl/artists/475055
189,https://data.rkd.nl/artists/4503
190,https://data.rkd.nl/artists/132944
191,https://data.rkd.nl/artists/70748
192,https://data.rkd.nl/artists/496171
193,https://data.rkd.nl/artists/440315
194,https://data.rkd.nl/artists/15460
195,https://data.rkd.nl/artists/287322
196,https://data.rkd.nl/artists/18781
197,https://data.rkd.nl/artists/88505
198,https://data.rkd.nl/artists/76461
199,https://data.rkd.nl/artists/69747
200,https://data.rkd.nl/artists/483938
201,https://data.rkd.nl/artists/81118
202,https://data.rkd.nl/artists/362353
203,https://data.rkd.nl/artists/46249
204,https://data.rkd.nl/artists/98609
205,https://data.rkd.nl/artists/316332
206,https://data.rkd.nl/artists/62665
207,https://data.rkd.nl/artists/480369
208,https://data.rkd.nl/artists/5833
209,https://data.rkd.nl/artists/98839
210,https://data.rkd.nl/artists/483691
211,https://data.rkd.nl/artists/23944
212,https://data.rkd.nl/artists/336811
213,https://data.rkd.nl/artists/124000
214,https://data.rkd.nl/artists/46304
215,https://data.rkd.nl/artists/29866
216,https://data.rkd.nl/artists/474403
217,https://data.rkd.nl/artists/211317
218,https://data.rkd.nl/artists/318261
219,https://data.rkd.nl/artists/18699
220,https://data.rkd.nl/artists/63734
221,https://data.rkd.nl/artists/35579
222,https://data.rkd.nl/artists/30929
223,https://data.rkd.nl/artists/12709
224,https://data.rkd.nl/artists/66182
225,https://data.rkd.nl/artists/425362
226,https://data.rkd.nl/artists/45476
227,https://data.rkd.nl/artists/112406
228,https://data.rkd.nl/artists/352762
229,https://data.rkd.nl/artists/38679
230,https://data.rkd.nl/artists/63008
231,https://data.rkd.nl/artists/235923
232,https://data.rkd.nl/artists/414235
233,https://data.rkd.nl/artists/44398
234,https://data.rkd.nl/artists/52852
235,https://data.rkd.nl/artists/463050
236,https://data.rkd.nl/artists/85101
237,https://data.rkd.nl/artists/334410
238,https://data.rkd.nl/artists/212365
239,https://data.rkd.nl/artists/276727
240,https://data.rkd.nl/artists/216760
241,https://data.rkd.nl/artists/265561
242,https://data.rkd.nl/artists/8068
243,https://data.rkd.nl/artists/57371
244,https://data.rkd.nl/artists/79407
245,https://data.rkd.nl/artists/287614
246,https://data.rkd.nl/artists/237895
247,https://data.rkd.nl/artists/25942
248,https://data.rkd.nl/artists/109889
249,https://data.rkd.nl/artists/90742
250,https://data.rkd.nl/artists/460912
251,https://data.rkd.nl/artists/327945
252,https://data.rkd.nl/artists/13501
253,https://data.rkd.nl/artists/117239
254,https://data.rkd.nl/artists/76183
255,https://data.rkd.nl/artists/107795
256,https://data.rkd.nl/artists/327591
257,https://data.rkd.nl/artists/78363
258,https://data.rkd.nl/artists/15018
259,https://data.rkd.nl/artists/19030
260,https://data.rkd.nl/artists/435009
261,https://data.rkd.nl/artists/65330
262,https://data.rkd.nl/artists/255465
263,https://data.rkd.nl/artists/255847
264,https://data.rkd.nl/artists/126707
265,https://data.rkd.nl/artists/291300
