,s,p,o
0,https://data.rkd.nl/artists/101500,name,De Neste  Alfred
1,https://data.rkd.nl/artists/101500,name,Neste  Alfred van
2,https://data.rkd.nl/artists/101500,name,Van Neste  Alfred
3,https://data.rkd.nl/artists/101500,name,Van Neste  Alfred Joseph Auguste
4,https://data.rkd.nl/artists/77995,name,Touchagues  Louis
5,https://data.rkd.nl/artists/23581,name,Dolz Mateo  Dora
6,https://data.rkd.nl/artists/23581,name,Dolz de Herman  Dora
7,https://data.rkd.nl/artists/23581,name,Dolz  Adoración
8,https://data.rkd.nl/artists/23581,name,Dolz  Dora
9,https://data.rkd.nl/artists/23581,name,Herman  Dora Dolz de
10,https://data.rkd.nl/artists/206534,name,Grit  Arend
11,https://data.rkd.nl/artists/501357,name,Agnessens  Jean André
12,https://data.rkd.nl/artists/501357,name,Anneessens  Jan Andries
13,https://data.rkd.nl/artists/501357,name,Anneessens  Jean André
14,https://data.rkd.nl/artists/368005,name,Gresnigt  Adelbert
15,https://data.rkd.nl/artists/368005,name,Gresnigt  Charles Louis
16,https://data.rkd.nl/artists/368005,name,Gresnigt  Dom  Adelbert
17,https://data.rkd.nl/artists/488597,name,Ditzel  Nanna
18,https://data.rkd.nl/artists/488597,name,Hauberg  Nanna
19,https://data.rkd.nl/artists/100074,name,Stiévenart  Clément
20,https://data.rkd.nl/artists/254437,name,Block  Jacob Reyersz 
21,https://data.rkd.nl/artists/254437,name,Block  Jacobus Rengers
22,https://data.rkd.nl/artists/254437,name,Blok  H 
23,https://data.rkd.nl/artists/254437,name,Blok  Jacob Reiniersz 
24,https://data.rkd.nl/artists/254437,name,Blok  Jacob Rengers
25,https://data.rkd.nl/artists/254437,name,Blok  Jakob Rogerius
26,https://data.rkd.nl/artists/254437,name,Blok  Jakop Reugers
27,https://data.rkd.nl/artists/254437,name,Rengers von Gouda  Jacob
28,https://data.rkd.nl/artists/15,name,Aafjes  Sijtje
29,https://data.rkd.nl/artists/15,name,Aafjes  Sijtje Antje Agatha Johanna
30,https://data.rkd.nl/artists/335629,name,Lempke  Catharina Margaretha of Marthina
31,https://data.rkd.nl/artists/335629,name,Lempke  Eta
32,https://data.rkd.nl/artists/335629,name,Lempke  Etha
33,https://data.rkd.nl/artists/17343,name,Cluysenaar  Jean Pierre
34,https://data.rkd.nl/artists/17343,name,Cluysenaer  Jean Pierre
35,https://data.rkd.nl/artists/70276,name,Scheiner  Jakob
36,https://data.rkd.nl/artists/463778,name,Andersson  Erik Johan
37,https://data.rkd.nl/artists/463778,name,Jerken  Erik
38,https://data.rkd.nl/artists/277905,name,Metzelaar  Willem Cornelis
39,https://data.rkd.nl/artists/21473,name,Deiters  Heinrich
40,https://data.rkd.nl/artists/75658,name,Strathmann  Carl
41,https://data.rkd.nl/artists/84247,name,Wiertz  Pauline
42,https://data.rkd.nl/artists/14688,name,Caffà  Melchior
43,https://data.rkd.nl/artists/14688,name,Caffà  Melchiorre
44,https://data.rkd.nl/artists/14688,name,Cafà  Melchior
45,https://data.rkd.nl/artists/14688,name,Cafà  Melchiorre
46,https://data.rkd.nl/artists/14688,name,Gafar  Melchior
47,https://data.rkd.nl/artists/14688,name,Gafar  Melchiorre
48,https://data.rkd.nl/artists/14688,name,Gafà  Melchior
49,https://data.rkd.nl/artists/14688,name,Gafà  Melchiorre
50,https://data.rkd.nl/artists/2915,name,Audran  Claude  1658 1734 
51,https://data.rkd.nl/artists/2915,name,Audran  Claude  III 
52,https://data.rkd.nl/artists/342200,name,Birstinger  Leopold
53,https://data.rkd.nl/artists/483039,name,Beauclair  Gotthard de
54,https://data.rkd.nl/artists/67110,name,Rinsema  Thijs
55,https://data.rkd.nl/artists/67110,name,Rinsema  Thye
56,https://data.rkd.nl/artists/388612,name,Ebert  Wils
57,https://data.rkd.nl/artists/363413,name,Buhrman  Jan Anthonij
58,https://data.rkd.nl/artists/13805,name,Buckler  John
59,https://data.rkd.nl/artists/22669,name,Abramo van Diepenbecck
60,https://data.rkd.nl/artists/22669,name,Abramo van Diepenbeke
61,https://data.rkd.nl/artists/22669,name,Diepenbecke  Abraham van
62,https://data.rkd.nl/artists/22669,name,Diepenbeeck  Abraham Jansz  van
63,https://data.rkd.nl/artists/22669,name,Diepenbeeck  Abraham van
64,https://data.rkd.nl/artists/22669,name,Diepenbeek  Abraham van
65,https://data.rkd.nl/artists/22669,name,Dipendael  Abraham
66,https://data.rkd.nl/artists/12358,name,Brandis  Geraldo Abraham Brender à
67,https://data.rkd.nl/artists/12358,name,Brender à Brandis  Geraldo Abraham
68,https://data.rkd.nl/artists/12358,name,Brender à Brandis  Gerard Abraham
69,https://data.rkd.nl/artists/49840,name,Leijden  Ernst
70,https://data.rkd.nl/artists/49840,name,Leyden  Ernst
71,https://data.rkd.nl/artists/49840,name,Leyden  Ernst van
72,https://data.rkd.nl/artists/49840,name,Leyden  Oscar Moritz Ernst
73,https://data.rkd.nl/artists/122823,name,Scheibe  Richard
74,https://data.rkd.nl/artists/17212,name,Clercq  Samuel de
75,https://data.rkd.nl/artists/17212,name,Clerq  Samuel de
76,https://data.rkd.nl/artists/429789,name,Ponzi  Flaminio
77,https://data.rkd.nl/artists/429789,name,Ponzii  Flaminio
78,https://data.rkd.nl/artists/429789,name,Ponzio  Flaminio
79,https://data.rkd.nl/artists/53119,name,Marselier  Louis
80,https://data.rkd.nl/artists/53119,name,Masrelier  Louis
81,https://data.rkd.nl/artists/53119,name,Masreliez  Louis Adrien
82,https://data.rkd.nl/artists/341498,name,Hope of Deepdene  Thomas
