person,personLabels,birthDates,birthPlaceLabels,deathDates,deathPlaceLabels,occupationLabels
http://www.wikidata.org/entity/Q160422,Theo van Doesburg,1883-08-30T00:00:00Z,Theo van Doesburg,1931-03-07T00:00:00Z,Davos,photographer<|>designer<|>architect
http://www.wikidata.org/entity/Q447182,Mien Ruys,1904-04-12T00:00:00Z,Mien Ruys,1999-01-09T00:00:00Z,Dedemsvaart<|>Deventer,architect<|>designer
http://www.wikidata.org/entity/Q79000,Pieter Zeeman,1865-05-25T00:00:00Z,Pieter Zeeman,1943-10-09T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q117259,Arent Passer,1560-01-01T00:00:00Z,Arent Passer,1637-01-01T00:00:00Z,Tallinn,architect
http://www.wikidata.org/entity/Q118476,Evariste Mertens,1846-12-09T00:00:00Z,Evariste Mertens,1907-03-23T00:00:00Z,Zurich,architect
http://www.wikidata.org/entity/Q126499,Wilhelm Emil Meerwein,1844-09-17T00:00:00Z,Wilhelm Emil Meerwein,1927-01-25T00:00:00Z,Hamburg,architect
http://www.wikidata.org/entity/Q132142,Henri Alexis Brialmont,1821-05-25T00:00:00Z,Henri Alexis Brialmont,1903-07-21T00:00:00Z,Saint-Josse-ten-Noode,architect
http://www.wikidata.org/entity/Q132305,Willem de Kooning,1904-04-24T00:00:00Z,Willem de Kooning,1997-03-19T00:00:00Z,East Hampton,designer
http://www.wikidata.org/entity/Q153890,Niko Tinbergen,1907-04-15T00:00:00Z,Niko Tinbergen,1988-12-21T00:00:00Z,Oxford,photographer
http://www.wikidata.org/entity/Q160435,Gerrit Rietveld,1888-06-24T00:00:00Z,Gerrit Rietveld,1964-06-25T00:00:00Z,Utrecht,designer<|>architect<|>photographer
http://www.wikidata.org/entity/Q174655,Bart van der Leck,1876-11-26T00:00:00Z,Bart van der Leck,1958-11-13T00:00:00Z,Blaricum,designer
http://www.wikidata.org/entity/Q213082,Bartholomeus van Hove,1790-10-28T00:00:00Z,Bartholomeus van Hove,1880-11-08T00:00:00Z,The Hague,designer
http://www.wikidata.org/entity/Q318816,Hendrik Petrus Berlage,1856-02-21T00:00:00Z,Hendrik Petrus Berlage,1934-08-12T00:00:00Z,The Hague,designer<|>architect
http://www.wikidata.org/entity/Q330854,Abraham van Diepenbeeck,1596-05-09T00:00:00Z,Abraham van Diepenbeeck,1675-12-01T00:00:00Z,Antwerp,designer
http://www.wikidata.org/entity/Q336965,Louis le Roy,1924-10-31T00:00:00Z,Louis le Roy,2012-07-15T00:00:00Z,Oranjewoud,architect
http://www.wikidata.org/entity/Q358303,Pyke Koch,1901-07-15T00:00:00Z,Pyke Koch,1991-10-27T00:00:00Z,Wassenaar,designer
http://www.wikidata.org/entity/Q367968,Adriaen de Vries,1556-01-01T00:00:00Z,Adriaen de Vries,1626-12-13T00:00:00Z,Prague,architect
http://www.wikidata.org/entity/Q368053,Adriaen van der Werff,1659-01-21T00:00:00Z,Adriaen van der Werff,1722-11-12T00:00:00Z,Rotterdam,architect
http://www.wikidata.org/entity/Q372910,Pieter de Keyser,1595-01-01T00:00:00Z,Pieter de Keyser,1676-09-15T00:00:00Z,Amsterdam,architect
http://www.wikidata.org/entity/Q376104,Adrianus Bleijs,1842-03-29T00:00:00Z,Adrianus Bleijs,1912-01-12T00:00:00Z,Kerkdriel,architect
http://www.wikidata.org/entity/Q458861,Jan Thorn Prikker,1868-06-05T00:00:00Z,Jan Thorn Prikker,1932-03-05T00:00:00Z,Cologne,designer
http://www.wikidata.org/entity/Q470588,Jacobus Oud,1890-02-09T00:00:00Z,Jacobus Oud,1963-04-05T00:00:00Z,Wassenaar,designer<|>architect
http://www.wikidata.org/entity/Q480473,Willem Sandberg,1897-10-24T00:00:00Z,Willem Sandberg,1984-04-09T00:00:00Z,Amsterdam,designer
